ACCIDENT_YEAR,JURIS,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,CHP_SHIFT,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,LOCATION_TYPE,RAMP_INTERSECTION,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,MOTORCYCLE_ACCIDENT,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_MC_KILLED,COUNT_MC_INJURED,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y,IS_WEEKEND,TIME_OF_DAY,SEVERE_FATAL
2021,1942,2021-03-13,1453,6,5,Y,A,-,N,,,Y,3,0,1,2,A,-,09,21801.0,,N,D,A,H,-,A,A,0,Y,,A,01,0,1,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.29161834716795,34.05255126953125,1,Midday,0
2021,1942,2021-03-12,1315,5,5,Y,A,-,N,,,Y,2,0,2,2,A,-,09,21802.0,,N,D,A,H,-,A,A,0,Y,,A,01,1,0,1,0,1,,,LOS ANGELES,LOS ANGELES,-118.40185546875,34.019081115722656,0,Midday,1
2021,1942,2021-03-17,1525,3,5,Y,A,-,N,,,Y,1,1,0,2,A,-,09,21802.0,,N,D,A,D,-,A,A,0,Y,,A,07,0,0,0,1,0,,,LOS ANGELES,LOS ANGELES,-118.27397918701172,34.00103759765625,0,Midday,1
2021,1942,2021-03-17,1015,3,5,Y,A,-,N,,,N,2,0,1,2,A,-,06,21755.0,,N,D,A,H,-,A,A,0,Y,,C,02,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.19371032714844,34.118873596191406,0,Morning,1
2021,1942,2021-03-13,1615,6,5,Y,A,-,N,,,Y,4,0,1,2,A,-,09,21801.0,,F,B,A,H,-,A,D,0,Y,,-,99,0,0,1,0,1,,,LOS ANGELES,LOS ANGELES,-118.4495086669922,33.99237060546875,1,Evening,0
2021,1924,2021-02-24,1119,3,5,N,A,-,N,,,N,4,0,1,2,A,-,09,21804.0,A,N,D,A,H,-,A,D,0,Y,,A,01,0,0,1,0,1,33.88922882080078,-118.32650756835938,LOS ANGELES,GARDENA,-118.3265380859375,33.889610290527344,0,Midday,0
2021,1924,2021-03-01,1236,1,5,N,A,-,N,,,Y,3,0,1,1,A,-,03,22350.0,,N,E,A,H,-,A,A,0,Y,,C,02,0,1,0,0,1,33.90081024169922,-118.32650756835938,LOS ANGELES,GARDENA,-118.3265380859375,33.90086364746094,0,Midday,0
2021,1942,2021-03-19,2135,5,5,N,A,-,N,,,Y,2,0,1,1,A,-,03,22350.0,,N,A,A,B,-,E,D,0,Y,,C,03,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.3362274169922,34.11138916015625,0,Night,1
2021,1933,2021-03-21,342,7,5,N,A,-,N,,,Y,2,0,1,2,A,-,17,22109.0,,F,C,A,H,-,C,A,0,Y,,A,01,1,0,0,0,1,33.945438385009766,-118.32646942138672,LOS ANGELES,INGLEWOOD,-118.32654571533205,33.944419860839844,1,Night,1
2021,1924,2021-03-07,2123,7,5,Y,A,-,N,,,Y,2,0,1,2,A,-,12,21453.0,A,N,D,A,H,-,C,A,0,Y,,A,01,1,0,0,0,1,33.901939392089844,-118.29164886474608,LOS ANGELES,GARDENA,-118.29196166992188,33.901893615722656,1,Night,1
2021,1942,2021-03-25,1635,4,5,N,A,-,N,,,N,2,0,1,2,A,-,06,21750.0,,N,B,A,H,-,A,A,0,Y,,C,03,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.46355438232422,34.05387878417969,0,Evening,1
2021,1942,2021-03-27,1145,6,5,N,A,-,N,,,Y,2,0,1,1,A,-,03,22350.0,,N,H,A,H,-,A,D,0,Y,,C,02,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.54373168945312,34.04520034790039,1,Midday,1
2021,1942,2021-03-30,1015,2,5,Y,A,-,N,,,N,2,0,1,2,A,-,21,22106.0,,N,A,A,H,-,A,A,0,Y,,A,07,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.26528167724608,34.008155822753906,0,Morning,1
2021,1942,2021-03-29,1405,1,5,N,A,-,N,,,Y,4,0,1,1,A,-,08,22107.0,,N,E,A,H,-,A,D,0,Y,,C,02,0,0,1,0,1,,,LOS ANGELES,LOS ANGELES,-118.1901397705078,34.06324768066406,0,Midday,0
